Key,English Words,Translation
d0,0,0
d1,1,1
d2,2,2
d3,3,3
d4,4,4
d5,5,5
d6,6,6
d7,7,7
d8,8,8
d9,9,9
d10,10,10
d11,11,11
d12,12,12
label_select_chart1,--Select Chart--,પસંદ કરો ચાર્ટ
zero_to_20_kmph,0 to 20 KMPH,0થી 20 કિમીપ્રક 
twenty_to_50_kmph,20 to 50 KMPH, 20 થી 50 કિમીપ્રક
fifty_to_80_kmph,50 to 80 KMPH, 50 થી 80 કિમીપ્રક
eighty_plus_kmph,80+ KMPH,80+કિમીપ્રક
actual_weight,Actual Weight,વાસ્તવિક વજન 
add,Add,ઉમેરો 
add_lr_manually,Add LR Manually,ઉમેરો એલઆર મેન્યુલી 
add_manually,Add Manually,ઉમેરો મેન્યુલી 
additional_charges_qr,Additional charges - QR, વધારાના દર-કયુઆર 
after_booking,After Booking, બુકિંગ બાદ 
after_departure,After Departure, પ્રસ્થાન બાદ 
agent_city,Agent City,એજન્ટ શહેર
agent_net_amount,Agent Net Amount :,એજન્ટ ચોખ્ખી રકમ:  
agent_type,Agent Type,એજન્ટ પ્રકાર 
agent_branch,Agent/Branch,એજન્ટ/શાખા 
all_hamali,All Hamali, બધા હમાલી 
all_trips,All Trips,ટ્રીપ્ઝ 
amount_plus_gst,Amount + GST, રકમ+જીએસટી 
amount_payable,Amount payable, ચૂકવવાપાત્ર રકમ 
label_amount,Amount:,રકમ: 
apply,Apply, લાગુ કરો 
arrange_transfer,Arrange Transfer, ગોઠવો ટ્રાન્સફર 
auto_cancel_new,Auto Cancel New,ઓટો કેન્સલ નવું 
auto_wala,Auto Wala,ઓટો વાલા 
balance,Balance,સિલક 
bank_name,Bank name,બેન્કનું નામ 
base_fare,Base Fare, પાયાનું ભાડું 
base_fare_with_gst,Base fare with GST, જીએસટી સહિત પાયાનું ભાડું 
before_departure,Before Departure, પ્રસ્થાન પહેલાં 
bengaluru,Bengaluru, બેંગાલેરું 
bill_date,Bill date, બિલ તારીખ 
bill_info,Bill Info, બિલ માહિતી 
block_lr,Block LR, બ્લોક એલઆર 
blocking_party,Blocking Party,બ્લોકિંગ પાર્ટી 
boarded,Boarded, બોર્ડેડ 
book,Book,બુક 
book_again,Book again,બુક ફરીથી 
book_amt,Book Amt, બુક રકમ 
booked_by,Booked By, બુક્ડ દ્વારા 
booking_amount,Booking Amount, બુકિંગ રકમ 
booking_city,Booking City, બુકિંગ શહેર 
booking_date_wise,Booking Datewise report,બુકિંગ તારીખપ્રમાણે અહેવાલ 
booking_from_to,Booking From - To,બુકિંગ તારીખથી_તારીખ સુધી 
booking_other_charges,Booking Other Charges,બુકિંગ અન્ય ચાર્જીસ 
booking_transfer,Booking Transfer,બુકિંગ ટ્રાન્સફર 
booking_type,Booking Type,બુકિંગ પ્રકાર 
booking_remark,Booking Remark, બુકિંગ રીમાર્ક 
label_both,Both,બંન્ને 
branch_agent_booking_report,Branch /Agent Booking Report,શાખા/એજન્ટ બુકિંગ અહેવાલ 
tv_brach_phone,Branch phone, શાખા ફોન 
branch_recharge,Branch Recharge,શાખા રીચાર્જ 
branch_recharge_is_not_allowed,Branch recharge is not allowed, શાખા રીચાર્જ માન્ય નથી 
branch_stock,Branch Stock, શાખા સ્ટોક 
dispatch_report_type_7,Branch Summary,શાખા સારાંશ 
branch_transfer,Branch Transfer, શાખા ટ્રાન્સફર 
branch_transfer_receive,Branch Transfer Receive,શાખા ટ્રાન્સફર મેળવો 
branch_transfer_received,Branch Transfer Received,શાખા ટ્રાન્સફર મેળવો 
label_branch_name,Branch:, શાખા: 
broker,Broker,બ્રોકર 
bus_advance,Bus Advance,બસ એડવાન્સ 
bus_no,Bus No,બસ નં 
bus_qrs,Bus QRs, બસ કયુઆરએસ 
tracking,Bus Tracking,બસ ટ્રેકિંગ 
bus_transactions,Bus transaction, બસ લેવડ દેવડ 
by_branch,By branch, શાખા દ્વારા 
camera,Camera, કેમેરા 
cancel_chart,Cancel chart, કેન્સલ ચાર્ટ 
toolbar_dispatched,Cancel Dispatch,ડિસ્પેચ કેન્સલ કરો 
cancel_transfer,Cancel Transfer, કેન્સલ ટ્રાન્સફર 
label_cancel_by_branch,CAND Branch, સીએએનડીઆઇ શાખા 
label_cancel_date,CAND Date, સીએએનડી તારીખ 
label_cancel_by_user,CAND User, સીએએનડી વપરાશકાર 
ezetap_payment,Card payment,કાર્ડ ચૂકવણી 
toolbar_rate_inquiry,Cargo | Rate\ETA Inquiry,કાર્ગો|દર\ઇટીએ પૂછપરછ 
cartage,Cartage,કાર્ટેજ 
cash_amount,Cash Amount,રોકડ રકમ 
cash_transactions_and_no_concession,Cash Transactions and No Concession,રોકડ લેવડ દેવડ અને કન્સેશન નથી 
cash,Cash,રોકડ 
cb_cash_amount,CB Cash amount, સીબીઆઇ રોકડ રકમ 
cb_non_cash_amount,CB Non Cash amount,સીબી બિન રોકડ રકમ 
cc_earned,CC Earned,સીસી કમાયેલ 
challan_no,Challan No,ચલન નં 
challan_wise,Challan wise,ચલન અનુસાર 
chart_arrangement_transfer,Chart / Arrangement transfer,ચાર્ટ/ ગોઠવણ ટ્રાન્સફર 
chart_date_wise_report,Chart Date Wise Report,ચાર્ટ તારીખ અનુસાર અહેવાલ 
toolbar_chart_details,Chart Details,ચાર્ટ વિગતો 
toolbar_chart_transfer,Chart Transfer,ચાર્ટ ટ્રાન્સફર 
check_pos_card_and_upi_qr_transaction_details,Check POS Card & UPI QR Transaction Details,પીઓએસ કાર્ડ અને કયુઆર લેવડદેવડ વિગતો 
mode_type,Cheque / Draft / Card #,ચેક/ ડ્રાફ્ટ/ કાર્ડ # 
choose_date,Choose a payment date!,ચૂકવણીની તારીખ પસંદ કરો! 
close,Close,બંધ કરો 
close_all,Close All,બધુ બંધ કરો  
cm,cm,સેમી 
close_sender_details,Close Sender Details,મોકલનારની વિગતો બંધ કરો 
comm,Comm,કોમ 
common_lr,Common LR,સામાન્ય એલઆર 
company,Company,કંપની 
company_branch_user_qr,Company Branch User QR,"""કંપની શાખા વપરાશકાર કયુઆર"""
label_company_name,Company Name, કંપનીનું નામ 
compliance,compliance,પૂર્તિ 
conc_rate,Concession rate,કન્સેસંસ દર  
conc_amt,Conc Amt, કન્સે દર 
conc_pass_no,Conc Pass No.,કન્સે પાસ નં. 
label_confirm_sms,Confirm SMS,એસએમએસ સુનિશ્ચિત કરો 
connect_at_least_4_dots,Connect at least 4 dots,ઓછામાં ઓછા 4 ડોટસને જોડો 
label_consignee,Consignee,માલ મોકલનાર 
Consignment,Consignment,માલસામાન 
consignment_declaration,Consignment Declaration, માલસામાન કબૂલાત 
consignment_refund,Consignment Refund,માલસામાન રીફંડ 
consignment_type,Consignment Type,માલસામાન પ્રકાર 
label_consignor,Consignor,મોકલનાર 
contact_no,Contact No,સંપર્ક નં 
continue_scan,Continue Scan,સ્કેન કરવાનું ચાલુ રહો 
copy_fare,Copy fare,કોપી ભાડું 
coupon_code,Coupon code,કૂપન કોડ 
coupon_discount,Coupon Discount, કૂપન ડિસ્કાઉન્ટ 
label_credit_limit,Credit Limit :,ક્રેડિટ મર્યાદા: 
crossing,Crossing,ક્રોસિંગ 
crossing_cartage,Crossing Cartage,કાર્ટેજ ક્રોસિંગ 
crossing_remarks,Crossing Remarks,ક્રોસિંગ રીમાર્કઝ 
label_crossings,Crossings,ક્રોસિંગ્ઝ 
current_branch,Current Branch, હાલની શાખા 
current_city,Current City,હાલનુ શહેર 
customer_mobile_number,Customer Mobile Number, ગ્રાહક મોબાઈલ નંબર 
customer_name,Customer name,ગ્રાહક નામ 
date,Date,તારીખ 
datetime,Date Time,તારીખ સમય 
label_dddv,DDDV,ડીડીડીવી 
label_dddv_amount,DDDV Amount, ડીડીડીવી રકમ  
label_dddv_dispatch,DDDV Dispatch,ડીડીડીવી ડિસપેચ 
label_dddv_freight,DDDV Freight,ડીડીડીવી નૂર 
label_dddv_gst_other,DDDV GST + Other,ડીડીડીવી જીએસટી+અન્ય 
label_ddv_count1,DDDV LR Count,ડીડીડીવી એલઆર ગણતરી 
label_dddv_receive,DDDV Receive, ડીડીડીવી મેળવો 
label_ddv_count,DDDV Units, ડીડીડીવી એકમો 
label_ddv_ftl,DDDV/FTL,ડીડીડીવી/ એફટીએલ 
declared_value,Declared Value,જાહેર કરાયેલું મૂલ્ય 
delayed_by,Delayed By, ના દ્વારા મોડુ કરાયેલું 
deletee,Delete,કાઢી નાંખો 
delivery_date,Delivery date, ડિલીવરી તારીખ 
delivery_discount,Delivery Discount, ડિલીવરી વળતર 
delivery_gst,Delivery GST, ડિલીવરી જીએસટી 
delivery_hamali_and_extra_hamali,Delivery Hamali and Extra Hamali, ડિલીવરી હમાલી અને વધારાની હમાલી 
delivery_hamali_charges,Delivery Hamali Charges,ડિલીવરી હમાલી દરો 
delivery_other_charges,Delivery Other Charges, ડિલીવરી અન્ય દરો 
delivery_time,Delivery Time, ડિલીવરી સમય 
delivery_transfer,Delivery Transfer, ડિલીવરી ટ્રાન્સફર 
demurrage,Demurrage, ડિમરેજ 
desc,Desc,ડેસ્ક 
label_dest_branch,Dest Branch,લેબલ_દેસ્ટ શાખા દેસ્ટ શાખા 
label_dest_city,Dest City, શહેર ડેસ્ટ શહેર 
label_detail,Detail, વિગત 
receive_report_type_1,Detailed, વિગતવાર 
toolbar_detailed_receive_report,Detailed - Receive Report, વિગતવાર_મેળવો અહેવાલ 
dispatch_report_type_4,Detailed Summary, વિગતવાર સારાંશ 
device_id,Device Id, સાધન આઈડી 
disable_old_devices,Disable Old Devices, અસક્ષમ કરો જૂના સાધનો 
discount_coupon,Discount Coupon, વળતર કૂપન 
label_dis_from_branch,Disp From Branch,એ શાખામાથી ડિસ્પેચ કરો  
label_dis_from_city,Disp From City, શહેરમાથી ડિસ્પેચ કરો  
dispatch_date_time,Dispacth date time,ડિસ્પેચ તારીખ સમય 
label_dispatch_by,Dispatch By, ના દ્વારા ડિસ્પેચ 
label_dispatch_by_city,Dispatch By City,શહેર દ્વારા ડિસ્પેચ 
msg_cancel_dispatch_faild,Dispatch Cancelled Fail, ડિસ્પેચ કેન્સલ્ડ નિષ્ફળ 
msg_cancel_dispatch_success,Dispatch Cancelled Successfully, ડિસ્પેચ કેન્સલ્ડ સફળ 
label_dispatch_date_range,Dispatch Date Range, ડિસ્પેચ તારીખ રેન્જ 
dispatch_date_,Dispatch Date:,ડિસ્પેચ તારીખ: 
dispatch_from,Dispatch From,ની પાસેથી ડિસ્પેચ 
label_dispatch_from_branch,Dispatch From Branch, શાખામાથી ડિસ્પેચ 
dispatch_memo_no,Dispatch memo no,ડિસ્પેચ મેમો નં 
dispatch_more,Dispatch More,ડિસ્પેચ વધારે 
dispatch_new,Dispatch New, ડિસ્પેચ નવું 
dispatch_no,Dispatch No,ડિસ્પેચ નં 
dispatch_report,Dispatch Report, ડિસ્પેચ અહેવાલ 
dispatched_by_branch,Dispatched By Branch,શાખા દ્વારા ડિસ્પેચ કર્યું 
dispatched_to,Dispatched To, ને ડિસ્પેચ કર્યું 
dispatched_from_city,Dispatched from City, આ શહેરમાથી ડિસ્પેચ કર્યું 
dispatched_successfully,Dispatched Successfully,સફળતાપૂર્વક ડિસ્પેચ કર્યું 
label_dispatch_to_branch,Dispatched To Branch,શાખાને ડિસ્પેચ કર્યું 
label_dispatch_to_city,Dispatched To City,શહેરને ડિસ્પેચ કર્યું 
download,Download,ડાઉનલોડ 
dropoff2,Dropoff :, ડ્રોપઓફ: 
dropoff_details,Dropoff Details, ડ્રોપઓફ વિગતો 
msg_drop_off_loading,Dropoff is loading,ડ્રોપ ઓફ લોડીંગ થાય છે 
dropoff_location,Dropoff Location, ડ્રોપઓફ સ્થળ 
edit,Edit, એડિટ 
label_edit_dispatch,Edit Dispatch, એડિટ ડિસ્પેચ 
email_id,Email ID,ઈમેઈલ આઈડી 
enable_printing,Enable Printing, પ્રિન્ટીંગ સક્ષમ કરો 
end_price,End price,અંતિમ મૂલ્ય 
enter_booking_id,Enter Booking Id,બુકિંગ આઈડી દાખલ કરો 
label_correct_eway_bill,Enter Correct Eway Bill,યોગ્ય ઇવે બિલ દાખલ કરો 
enter_coupon_code,Enter Coupon Code, કૂપન કોડ દાખલ કરો 
otp,Enter OTP,ઓટીપી દાખલ કરો 
enter_passenger_details_to_send_link,Enter passenger details to send link,લિન્ક મોકલવા માટે મુસાફર વિગતો દાખલ કરો 
enter_passenger_mobile_no,Enter passenger mobile no,મુસાફરનો મોબાઈલ નં દાખલ કરો 
enter_sender_id_number,Enter Sender ID Number, મોકલનારનો આઈડી નંબર દાખલ કરો 
enter_transaction_code,Enter transaction code,લેવડ દેવડ કોડ દાખલ કરો 
enter_vehicle_no,Enter Vehicle No., વાહન નં દાખલ કરો. 
error_non_reporting_seat,Error while non-reporting seats!,બિન-અહેવાલજન્ય સીટઝ દરમ્યાન ભૂલ! 
error_storing_in_cache,Error while storing into cache!,કેશમાં સંગ્રહ કરવા દરમ્યાન ખામી! 
label_eta_days,ETA (Days),ઇટીએ(દિવસો)
ewb_status,EWB Status, ઇડબલ્યુબી સ્ટેટસ 
express_checkout,Express Checkout, એક્ષપ્રેસ ચેકઆઉટ 
extra_hamali_charges,Extra Hamali Charges,વધારાના હમાલી દર 
fare_copy,Fare Copy, ભાડા કોપી 
fare_in_rupees,Fare in rs, રૂપિયામાં ભાડું 
fare_refund,Fare Refund,ભાડું રીફંડ
female,Female,માદા 
fetch_pending_transactions,Fetch Pending Transactions, પડતર લેવડ દેવડ લઈ આવો 
filter,Filter,ફિલ્ટર 
foc,FOC,એફએઓસી 
label_foc_self_amount,FOC + Self Amount,એફઓસી+ સ્વ રકમ 
label_foc_self_freight,FOC + Self Freight, એફઓસી+ સ્વ નૂર 
label_foc_self_gst_other,FOC + Self GST+ Other, એફઓસી+ સ્વ જીએસટી+ અન્ય 
label_foc_self_lr_count1,FOC + Self LR Count, એફઓસી+ સ્વ એલઆર ગણતરી 
label_foc_self_lr_count,FOC + Self Units, એફઓસી+ સ્વ એકમો 
for_approval,FOC approval authority,એફઓસી માન્યતા સતા 
for_security,For security,સલામતી માટે 
for_security_confirm_pattern,For security Confirm Pattern,"""સલામતી માટે પેટર્ન સુનિશ્ચિત કરો"" "
four,Four,ચાર 
label_amount_tooltext,Freight + Hamali + Cartage, નૂર+હમાલી+કાર્ટેજ 
from_branch,From branch, શાખાએથી 
from_gallery,From Gallery,ગેલેરીએથી 
label_from_lr_booking_date,From LR Booking Date, એલઆર બુકિંગ તારીખેથી 
from_stage,From Stage,સ્ટેજમાથી 
label_ftl,FTL, એફટીએલ 
generated_on,Generated on,ના ઉપર જનરેટ કરવામાં આવ્યું 
generate_qr_for_scanning,Generate QR for scanning, સ્કેનિંગ માટે કયુઆર જનરેટ કરો  
generated_date_and_time,Generated Date and Time,તારીખ અને સમય જનરેટ કરો  
label_report_generation_time,Generation Time:, જનરેશન સમય: 
get_orders,Get Orders, આદેશો મેળવો 
get_qr_to_scan,Get QR to scan,કયુઆરથી સ્કેન મેળવો 
label_go,GO,ગો
go_to_seatchart,go to seat chart,સીટ ચાર્ટ ઉપર જાઓ 
godown,Godown,ગોડાઉન 
loading_godown_city_list,Godown City List is loading!, ગોડાઉન શહેર યાદી લોડ થઈ રહી છે! 
group_boarding_report,Group Boarding Report, જૂથ બોર્ડિંગ અહેવાલ 
gst_on_cc_plus,GST on CC (+) :,સીસી(+) ઉપર જીએસટી: 
gstn_paid_by_transporter,(GSTN paid by Transporter), (જીએસટીએન ટ્રાન્સપોર્ટર દ્વારા ચૂકવ્યા) 
gstn,GSTN,જીએસટીએન 
hamali_and_operator_hamali,Hamali and Operator Hamali, હમાલી અને સંચાલક હમાલી 
label_hide_qr,Hide QR,હાઈડ કયુઆર 
hired_vehicle,Hired vehicle,વાહન ભાડે કર્યું 
hold_release,Hold release,મુકત થવાને અટકાવવું 
hrs,Hrs, કલાકો 
i_was_there,I was there,હું ત્યાં હતો 
in_bus_bookings,In Bus Bookings, બસ બુકિંગ્ઝમાં 
inch,inch,ઈંચ 
label_correct_information,Is the information correct?, શું તે માહિતી ખરી છે? 
isd_code,ISD,આઈએસડી 
issuer,Issuer,ઇસ્યુ કરનાર 
item_name,Item Name,વિગતનું નામ 
item_type_,Item type,વિગત પ્રકાર 
jour_dt,Jour. Dt,મુસાફરી.તારીખ 
tv_landmark,Landmark, લેન્ડમાર્ક 
legal_compliance,Legal Compliance, કાયદાકીય પૂર્તિ 
less,Less,ઓછું 
lit,LIT,લિટ 
loading_data,Loading Data..., લોડીંગ ડેટા... 
label_location_not_provided,Location is not provided, સ્થળ પૂરું પાડવામાં આવ્યું નથી 
tv_location_name,Location name, સ્થળનું નામ 
tv_location_time,Location time, સ્થળનો સમય 
location_sync_is_in_progress,Location sync is in progress..., સ્થળનું સિંક પ્રગતિમાં છે.... 
label_lr_count,LR Count/Unit,એલઆર ગણતરી/એકમ 
label_lr_details,LR Details,એલઆર વિગતો 
lr_number,LR Number,એલઆર નંબર 
lr_report,LR Report,એલઆર અહેવાલ 
lrs,LRs, એલઆરએસ 
luggage_short_received_successfully,Luggage Short Received Successfully!,માલસામાન શોર્ટ સફળતાપૂર્વક મેળવ્યો! 
male,Male,નર 
manage_devices,Manage Devices,સાધનોને મેનેજ કરો 
travels_name,Mantis travels,મંટીસ ટ્રાવેલ્સ 
manuel_lr_no,Manual LR No, મેન્યુલ એલઆર નં 
method_of_packing,Method Of Packing,પેકિંગની પધ્ધતિ 
cover_freight_restrictions,Minimum freight should be 40, ન્યૂનતમ નૂર 40 હોવું જોઈએ 
packet_freight_restrictions,Minimum freight should be 90, ન્યૂનતમ નૂર 90 હોવું જોઈએ
mins,Mins,ન્યૂનતમ 
mm,mm,મીમી 
mobile_number,Mobile number, મોબાઈલ નંબર 
mod_charges_plus,Mod. charges (+) :, મોડ.દરો(+): 
month,Month,મહિનો 
monthly,Monthly, માસિક 
more,More,વધુ 
label_more,more, વધુ 
net_fare,Net fare,કુલ ભાડું 
net_fare_with_gst,Net fare with GST, જીએસટી સાથે કુલ ભાડું 
netrate,Netrate, કુલ દર 
net_total,Net Total,કુલ ટોટલ 
neww,New,નવું 
new_bus_type,New Bus Type, નવી બસ પ્રકાર 
label_new_Seat_chart,new Chart, નવો ચાર્ટ 
label_new_drop_off,New Dropoff, નવો ડ્રોપઓફ 
label_new_pick_up,New Pickup, નવો પીકઅપ 
label_new_seat,New Seats,નવી સીટઝ 
next_trips,Next Trips, હવે પછીની ટ્રીપ્ઝ 
no_data_found,No Data Found,કોઈ ડેટા જોવા મળ્યો નથી 
no_godown_branch_found,No Godown Branch Found, કોઈ ગો ડાઉન શાખા જોવા મળી નથી 
no_godown_cities,No Godown Cities Found, કોઈ ગો ડાઉન શહેરો જોવા મળ્યા નથી 
dispatch_report_type_8,No Vehicle Group, કોઈ વાહન જૂથ નથી 
non_cash_amount,Non Cash amount, બિન રોકડ રકમ 
non_report_seat,Non Report Seat, બિન અહેવાલ સીટ 
label_nop_units,NOP/Units,એનઓપી/ એકમો 
not_available,Not Available,ઉપલબ્ધ નથી 
number_given,Number given, સંખ્યા આપવામાં આવી છે 
label_offline,Offline,ઓફલાઈન 
offline_bkg_cash_amnt,Offline Bkg Cash Amt,ઓફલાઈન બીકેજી રોકડ રકમ 
offline_bkg_non_cash_amnt,Offline Bkg Non Cash Amt,ઓફલાઈન બીકેજી બિન રોકડ રકમ
label_old_Seat_chart,Old Chart, જૂનો ચાર્ટ 
label_old_drop_off,Old Dropoff, જૂનો ડ્રોપ ઓફ 
label_old_pick_up,Old Pickup,જૂનો પિકઅપ 
label_old_seat,Old Seats,જૂની સીટઝ 
onaccount,OnAccount,ખાતામાં 
label_on_account_amount,OnAccount Amount, ખાતામાં રકમ 
label_on_account_amt,OnAccount Amt, ખાતામાં રકમ 
label_on_account_freight,OnAccount Freight, ખાતામાં નૂર 
label_on_account_gst_other,OnAccount GST + Other, ખાતામાં જીએસટી + અન્ય 
label_on_account_lr_count1,OnAccount LR Count, ખાતામાં એલઆર ગણતરી 
label_on_account_lr_count,OnAccount Units, ખાતામાં એકમો  
label_online,Online,ઓનલાઈન 
op_name,Opearor name, ઓપેરરનું નામ 
open_report,Open Report,અહેવાલ ખોલો 
open_ticket,Open Ticket,ખોલો ટીકીટ 
operator_hamali,Operator Hamali,સંચાલક હમાલી 
or,Or,અથવા 
order_id,Order ID,ઓર્ડર આઈડી 
order_list,Order list,ઓર્ડર યાદી 
other_charges,Other Charges,અન્ય દરો 
other_expenses,Other expenses, અન્ય ખર્ચાઓ 
other_qrs,Other QRs,અન્ય કયુઆરએસ 
other_transactions,Other transactions,અન્ય લેવડ દેવડો 
otp_sent_to_your_mobile_number,OTP sent to you mobile number, તમારા મોબાઈલ નંબર ઉપર ઓટીપી મોકલ્યો 
label_paid_amount,Paid Amount,રકમ ચૂકવી 
label_paid_freight,Paid Freight, નૂર ચૂકવ્યું  
label_paid_gst_other,Paid GST + Other,જીએસટી+ અન્ય ચૂકવ્યું  
label_paid_lr_count1,Paid LR Count,એલઆર ગણતરી ચૂકવી 
label_paid_lr_count,Paid Units, એકમો ચૂકવ્યા  
party_address,Party Address, પાર્ટી સરનામું 
party_bill_date,Party Bill Date,પાર્ટી બિલ તારીખ 
party_bill_value,Party Bill Value,પાર્ટી બિલ મૂલ્ય 
party_credit_limit,Party creditLimit,પાર્ટી ક્રેડિટ લિમિટ 
party_details,Party Details,પાર્ટી વિગતો 
party_email_id,Party Email ID,પાર્ટી ઈમેઈલ આઈડી
party_gstn,Party GSTN,પાર્ટી જીએસટીએન 
hint_party_id,Party ID, પાર્ટી આઈડી 
party_mobile,Party Mobile No,પાર્ટી મોબાઈલ નં 
party_name,Party Name,પાર્ટીનું નામ 
party_number,Party Number,પાર્ટી સંખ્યા 
party_pin_code,Party Pincode,પાર્ટી પિનકોડ 
amntin_rs,Pass penalty, પાસા પેનલ્ટી 
passenger_number,Passenger Number, મુસાફર ક્રમાંક 
passenger_report,Passenger Report,મુસાફર અહેવાલ
path_route,Path route,પાથ રૂટ 
pay,Pay,ચૂકવો 
payment_info,Payment info,ચૂકવણી માહિતી 
label_payment_summary,Payment Summary -,ચૂકવણી સારાંશ- 
payout_type,Payout Type,પેઆઉટ પ્રકાર 
pdbf_voucher,PBDF Voucher,પીબીડીએફ વાઉચર 
pd_refund,PD Charges Refund, પીડી ચાર્જ રીફંડ 
phone,Phone, ફોન 
pd_charge,Pickup dropoff charge,પીક અપ ડ્રોપ ઓફ ચાર્જ 
pickup_group,Pickup Group, પીકઅપ જૂથ 
msg_pickup_loading,Pickup is loading, પીકઅપ લોડ થાય છે 
pickup_location,Pickup Location,પીકઅપ સ્થળ 
pickup_point,Pickup Point, પીકઅપ પોઈન્ટ 
pickup_man_mob_no,Pickupman mobile number, પીકઅપમેન મોબાઈલ નંબર 
pin,Pin, પીન 
pinCode,Pincode, પીનકોડ 
please,Please,કૃપા કરીને 
please_enter_collection_cartage,Please enter Collection cartage,કૃપા કરીને કલેક્ષન કાર્ટેજ દાખલ કરો  
please_enter_crossing_remarks,Please enter Crossing Remarks, કૃપા કરીને ક્રોસિંગ રીમાર્ક દાખલ કરો 
please_enter_goods_value,Please enter goods value,કૃપા કરીને સામાન મૂલ્ય દાખલ કરો 
message_type_2,Please select booked seats,કૃપા કરીને બુક કરેલ સીટઝને પસંદ કરો 
label_select_different_seat,Please select different seat,કૃપા કરીનેજુદીજુદી સીટ પસંદ કરો 
message_type_1,Please select empty seats,કૃપા કરીને ખાલી સીટઝ પસંદ કરો 
select_godown_city_first,Please select Godown City first,કૃપા કરીને ગોડાઉન શહેર પ્રથમ પસંદ કરો 
self_booking_pnr,PNR Number,પીએનઆર ક્રમાંક 
pnr_number,PNR number, પીએનઆર ક્રમાંક 
pos,POS,પીઓએસ 
pre_bus_type,Pre Bus Type, પ્રિ બસ પ્રકાર 
prepaid_card,Prepaid Card, પ્રીપેઈડ કાર્ડ 
primary_mobile_number,Primary mobile number, પ્રાથમિક મોબાઈલ નંબર 
print,Print, પ્રિન્ટ 
print_cust_copy,Print customer copy,પ્રિન્ટ ગ્રાહક કોપી 
